Size, Lienar Ascending, Insert Ascending, Linear Descending, Insert Descending, Linear Random, Insert Random
1,1.39E-05,9.00E-06,1.15E-05,8.40E-06,1.13E-05,8.70E-06
2,7.90E-06,6.10E-06,7.80E-06,6.20E-06,7.40E-06,6.30E-06
4,1.21E-05,8.70E-06,1.10E-05,9.50E-06,1.05E-05,9.00E-06
8,1.35E-05,1.08E-05,1.38E-05,1.35E-05,1.30E-05,1.11E-05
16,1.69E-05,1.57E-05,2.05E-05,2.35E-05,1.91E-05,1.90E-05
32,2.36E-05,2.30E-05,3.16E-05,4.40E-05,2.92E-05,2.80E-05
64,3.95E-05,3.66E-05,5.16E-05,8.84E-05,4.77E-05,4.86E-05
128,5.29E-05,5.67E-05,9.00E-05,0.0001887,8.08E-05,9.17E-05
256,9.38E-05,0.0001,0.0001668,0.0004086,0.000146,0.0001662
512,0.0001819,0.000185,0.0003162,0.0008995,0.0002816,0.0003394
1024,0.0003127,0.0003505,0.0006134,0.0020193,0.0005405,0.0006243
2048,0.0005956,0.0006864,0.0012475,0.0044312,0.0010497,0.0012257
4096,0.001188,0.0013896,0.0024423,0.0096297,0.0021426,0.0025255
8192,0.0023338,0.0027992,0.0055457,0.0214537,0.0043477,0.0050499
16384,0.0046448,0.0057927,0.0097354,0.0441649,0.0084786,0.0098867
32768,0.0091109,0.011042,0.0209224,0.0956822,0.0169693,0.0197023
65536,0.0194425,0.021758,0.0385324,0.212466,0.0340622,0.0408497
131072,0.0364619,0.0450572,0.0781812,0.437252,0.0703972,0.0791536
262144,0.0737881,0.0898713,0.156988,0.932061,0.138351,0.160623
524288,0.147232,0.177281,0.314355,1.97587,0.275706,0.322941
1048576,0.296642,0.351178,0.629811,4.1848,0.557781,0.643241
2097152,0.603337,0.713696,1.26391,8.81844,1.11099,1.28918
4194304,1.21159,1.42829,2.53716,18.4823,2.23594,2.5874
8388608,2.43959,2.87366,5.13388,38.6108,4.48318,5.29038
